DISTRICT,YEAR,monsoon_precip,monsoon_z,drought,mam_T2M,mam_T2M_MAX,mam_T2M_MIN,mam_T2M_RANGE,mam_RH2M,mam_QV2M,mam_PS,mam_WS10M,mam_PRECTOT,djf_T2M,djf_RH2M,djf_PRECTOT,prev_monsoon_precip,prev_monsoon_z,LAT,LON
Baglung,2002,273.56,-1.3421128329472258,1,16.133333333333333,23.183333333333334,10.1,13.083333333333334,35.57,5.266666666666667,79.25,2.706666666666667,45.870000000000005,7.1000000000000005,37.99666666666667,25.97,527.13,-0.42737623265912156,28.3,83.6
Baglung,2003,396.66,-0.898037920712081,1,15.570000000000002,22.766666666666666,9.270000000000001,13.496666666666668,32.199999999999996,4.483333333333333,79.28666666666668,2.716666666666667,19.380000000000003,6.953333333333333,36.803333333333335,51.58,273.56,-1.3421128329472258,28.3,83.6
Baglung,2004,982.1899999999999,1.2142218953808859,0,16.613333333333333,23.669999999999998,10.743333333333332,12.926666666666668,36.94,5.626666666666666,79.23,2.6799999999999997,130.02,6.883333333333333,40.63333333333333,34.7,396.66,-0.898037920712081,28.3,83.6
Baglung,2005,882.89,0.8560038711327149,0,15.149999999999999,21.94666666666667,9.116666666666667,12.833333333333334,38.973333333333336,5.206666666666667,79.33999999999999,2.5533333333333332,57.1,6.69,52.656666666666666,50.900000000000006,982.1899999999999,1.2142218953808859,28.3,83.6
Baglung,2006,929.1,1.0227033162536414,0,14.790000000000001,21.226666666666667,9.146666666666667,12.083333333333334,47.593333333333334,6.579999999999999,79.28333333333335,2.44,202.32,8.416666666666666,43.81333333333333,0.8,882.89,0.8560038711327149,28.3,83.6
Baglung,2007,1099.28,1.6366161396831858,0,15.01,21.38,9.28,12.096666666666666,50.699999999999996,6.960000000000001,79.32666666666667,2.35,128.91,6.580000000000001,49.53333333333333,127.85,929.1,1.0227033162536414,28.3,83.6
Baglung,2008,1496.03,3.067864892155108,0,15.25,22.006666666666664,9.213333333333333,12.793333333333331,40.70333333333333,5.656666666666666,79.22666666666667,2.5766666666666667,117.48,6.213333333333334,48.48333333333333,6.38,1099.28,1.6366161396831858,28.3,83.6
Baglung,2009,822.1400000000001,0.6368523608298312,0,15.593333333333334,22.506666666666664,9.673333333333334,12.83,39.593333333333334,5.676666666666667,79.27,2.57,145.99,8.533333333333333,47.73666666666667,6.279999999999999,1496.03,3.067864892155108,28.3,83.6
Baglung,2010,1010.25,1.3154464448310743,0,17.27,24.536666666666665,10.826666666666666,13.713333333333333,33.75333333333334,5.333333333333333,79.29,2.776666666666667,34.37,7.173333333333333,44.28666666666667,17.240000000000002,822.1400000000001,0.6368523608298312,28.3,83.6
Baglung,2011,1067.64,1.5224769827122684,0,14.983333333333334,21.413333333333338,9.336666666666666,12.073333333333332,45.88333333333333,6.43,79.29333333333334,2.4966666666666666,163.87,6.286666666666666,49.406666666666666,21.93,1010.25,1.3154464448310743,28.3,83.6
Baglung,2012,1276.44,2.2757088403458847,0,15.49,22.616666666666664,9.13,13.479999999999999,35.9,5.006666666666667,79.21666666666665,2.7366666666666664,47.14,6.0566666666666675,51.403333333333336,35.32,1067.64,1.5224769827122684,28.3,83.6
Baglung,2013,1429.04,2.826203004497656,0,15.29,22.063333333333333,9.263333333333334,12.796666666666667,45.93666666666667,6.313333333333333,79.24,2.66,168.16,6.173333333333333,52.35666666666666,81.25,1276.44,2.2757088403458847,28.3,83.6
Baglung,2014,1659.1999999999998,3.656489615383447,0,15.0,21.5,9.196666666666667,12.303333333333333,47.50666666666666,6.386666666666667,79.35333333333334,2.56,143.89,6.453333333333333,60.77,41.65,1429.04,2.826203004497656,28.3,83.6
Baglung,2015,1502.91,3.092684026161427,0,14.106666666666667,19.959999999999997,8.783333333333333,11.176666666666668,58.660000000000004,7.44,79.39666666666666,2.283333333333333,318.84000000000003,6.656666666666666,57.199999999999996,86.03999999999999,1659.1999999999998,3.656489615383447,28.3,83.6
Baglung,2016,1522.94,3.164940894496682,0,16.116666666666664,22.656666666666666,10.593333333333334,12.056666666666667,43.74,6.34,79.30333333333333,2.563333333333333,207.84,7.056666666666666,48.81666666666666,10.92,1502.91,3.092684026161427,28.3,83.6
Baglung,2017,1466.4499999999998,2.961157045657012,0,14.613333333333335,20.796666666666667,9.096666666666666,11.696666666666667,51.95333333333334,7.083333333333333,79.28000000000002,2.29,348.84000000000003,8.196666666666667,50.15333333333333,13.44,1522.94,3.164940894496682,28.3,83.6
Baglung,2018,39.0,-2.188272145813802,1,14.773333333333333,20.833333333333332,9.473333333333334,11.37,53.00333333333333,7.2,79.31,2.3866666666666667,12.889999999999999,7.963333333333334,46.46,0.88,1466.4499999999998,2.961157045657012,28.3,83.6
Baglung,2019,44.239999999999995,-2.169369200727594,1,14.426666666666668,20.900000000000002,8.586666666666666,12.316666666666668,51.843333333333334,6.8,79.32666666666667,2.3800000000000003,8.83,5.8500000000000005,57.833333333333336,4.74,39.0,-2.188272145813802,28.3,83.6
Baitadi,1982,317.28000000000003,-0.35075512774057216,0,9.276666666666666,15.783333333333333,3.5400000000000005,12.243333333333334,55.44333333333333,5.55,73.81666666666666,2.5766666666666667,91.68,0.7833333333333333,48.6,82.79,514.35,0.860842450782841,29.5,80.5
Baitadi,1983,431.18,0.3495085561982148,0,9.49,16.513333333333335,3.3833333333333333,13.13,44.876666666666665,4.656666666666667,73.79333333333334,2.6733333333333333,78.97999999999999,1.3033333333333335,41.04333333333333,24.04,317.28000000000003,-0.35075512774057216,29.5,80.5
Baitadi,1984,334.38,-0.2456233542958554,0,11.976666666666667,19.823333333333334,4.61,15.213333333333333,34.43333333333333,4.093333333333333,73.79333333333334,2.81,26.560000000000002,0.3333333333333333,43.36666666666667,58.59,431.18,0.3495085561982148,29.5,80.5
Baitadi,1985,387.47,0.08077698793689461,0,12.006666666666666,19.583333333333332,5.04,14.543333333333335,31.340000000000003,3.8033333333333332,73.76666666666667,2.776666666666667,52.04,0.9566666666666666,40.07333333333333,57.24,334.38,-0.2456233542958554,29.5,80.5
Baitadi,1986,474.41999999999996,0.6153505377040367,0,10.03,17.243333333333336,3.4066666666666667,13.836666666666666,40.46333333333333,4.156666666666666,73.78666666666668,2.733333333333333,61.58,2.2733333333333334,43.47,43.07,387.47,0.08077698793689461,29.5,80.5
Baitadi,1987,158.42000000000002,-1.327435451098919,1,10.363333333333333,17.613333333333333,3.81,13.800000000000002,40.52,4.3,73.89333333333333,2.6333333333333333,65.13,1.8366666666666667,43.00333333333333,45.269999999999996,474.41999999999996,0.6153505377040367,29.5,80.5
Baitadi,1988,377.5,0.019480860378775857,0,11.586666666666666,19.186666666666667,4.3066666666666675,14.88,34.74666666666667,3.83,73.81666666666666,2.793333333333333,56.92,3.546666666666667,36.4,95.66,158.42000000000002,-1.327435451098919,29.5,80.5
